district,year,total_residents,jutland_residents,local_residents,jutland_share_pct,local_share_pct,edu_total,edu_high,high_ed_share_pct
Amager Vest,2013,49160.0,7848.0,24415.0,15.96419853539463,49.66436126932465,36696.0,13690.0,37.306518421626336
Amager Vest,2014,50394.0,7988.0,24872.0,15.851093384133032,49.3550819542009,37169.0,14529.0,39.08902580107078
Amager Vest,2015,51337.0,8269.0,25147.0,16.107291037653155,48.984163468843136,37838.0,15291.0,40.41175537819124
Amager Vest,2016,52618.0,8465.0,25683.0,16.087650613858376,48.81029305560835,38377.0,16038.0,41.79065586158376
Amager Vest,2017,53994.0,8553.0,26216.0,15.840648960995667,48.55354298625773,39204.0,16638.0,42.43954698500153
Amager Vest,2018,55593.0,8747.0,26921.0,15.733995287176443,48.42516144118864,40636.0,17301.0,42.575548774485675
Amager Vest,2019,57776.0,9019.0,27747.0,15.610288008861811,48.025131542509,42238.0,17848.0,42.25578862635542
Amager Vest,2020,59957.0,9311.0,28510.0,15.52946278166019,47.5507447003686,43141.0,18232.0,42.2614218492849
Amager Vest,2021,61207.0,9439.0,28948.0,15.421438724328917,47.295244008038296,44079.0,18719.0,42.46693436783956
Amager Vest,2022,62524.0,9444.0,29495.0,15.104599833663872,47.17388522807242,43839.0,19065.0,43.488674467939504
Amager Vest,2023,62342.0,9363.0,29476.0,15.018767444098682,47.28112668826794,43654.0,19434.0,44.5182572043799
Amager Vest,2024,62267.0,9379.0,29671.0,15.06255319832335,47.651243837024424,43916.0,19897.0,45.306949631113945
Amager Øst,1985,41581.0,5990.0,23800.0,14.40561795050624,57.237680671460524,30854.0,2287.0,7.412329033512672
Amager Øst,1986,40951.0,5849.0,23407.0,14.282923493931772,57.15855534663378,30687.0,2390.0,7.788314269886271
Amager Øst,1987,40572.0,5804.0,23168.0,14.305432317854677,57.10342107857636,30353.0,2573.0,8.476921556353574
Amager Øst,1988,40108.0,5710.0,22849.0,14.236561284531764,56.96868455171038,30320.0,2720.0,8.970976253298153
Amager Øst,1989,40028.0,5611.0,22729.0,14.017687618666933,56.782752073548515,30239.0,2804.0,9.27279341248057
Amager Øst,1990,40003.0,5550.0,22705.0,13.873959453041023,56.75824313176512,30009.0,2919.0,9.727081875437369
Amager Øst,1991,40085.0,5572.0,22523.0,13.900461519271548,56.18810028689036,29752.0,3072.0,10.325356278569508
Amager Øst,1992,40232.0,5506.0,22488.0,13.68562338437065,55.89580433485782,29746.0,3230.0,10.858602837356283
Amager Øst,1993,40052.0,5402.0,22510.0,13.487466293818036,56.20193748127434,29942.0,3399.0,11.351947097722263
Amager Øst,1994,40203.0,5344.0,22618.0,13.29254035768475,56.25948312315001,30113.0,3609.0,11.98485703848836
Amager Øst,1995,40261.0,5322.0,22583.0,13.218747671443829,56.091502943295,30257.0,3733.0,12.33764087649139
Amager Øst,1996,40215.0,5223.0,22620.0,12.98769116001492,56.24766878030586,30294.0,3959.0,13.06859444114346
Amager Øst,1997,40139.0,5235.0,22414.0,13.042178429955904,55.84095268940432,30291.0,4188.0,13.82588887788452
Amager Øst,1998,40140.0,5265.0,22267.0,13.116591928251122,55.473343298455404,30554.0,4486.0,14.682202003011062
Amager Øst,1999,40304.0,5352.0,22195.0,13.279078999603017,55.068975784041285,30730.0,4837.0,15.740318906605923
Amager Øst,2000,40485.0,5510.0,22056.0,13.609979004569594,54.479436828454986,31215.0,5328.0,17.068716962998558
Amager Øst,2001,40964.0,5734.0,21992.0,13.997656478859486,53.68616346059955,31325.0,5806.0,18.534716679968078
Amager Øst,2002,41177.0,6004.0,21835.0,14.580955387716443,53.027175364888166,31363.0,6286.0,20.042725504575454
Amager Øst,2003,41078.0,6047.0,21605.0,14.720775110764887,52.59506305078144,31442.0,6795.0,21.611220660263342
Amager Øst,2004,41133.0,6171.0,21474.0,15.00255269491649,52.20625774925242,31500.0,7344.0,23.314285714285713
Amager Øst,2005,41188.0,6242.0,21285.0,15.154899485286977,51.67767310867243,31528.0,7725.0,24.50202994163918
Amager Øst,2006,40968.0,6294.0,21012.0,15.363210310486233,51.2888107791447,31419.0,8209.0,26.1275024666603
Amager Øst,2007,40707.0,6231.0,20857.0,15.306949664676837,51.236888004520104,31579.0,7847.0,24.848791918680135
Amager Øst,2008,40791.0,6286.0,20726.0,15.410262067612955,50.81022774631659,31840.0,9001.0,28.269472361809044
Amager Øst,2009,41214.0,6342.0,20794.0,15.38797495996506,50.453729315281215,32005.0,9345.0,29.198562724574284
Amager Øst,2010,41351.0,6266.0,20839.0,15.153200648110081,50.395395516432494,32385.0,9756.0,30.125057897174617
Amager Øst,2011,41757.0,6301.0,20981.0,15.089685561702229,50.245467825753764,32715.0,10046.0,30.70762647103775
Amager Øst,2012,42157.0,6403.0,21045.0,15.188462177099888,49.920535142443725,33284.0,10421.0,31.30933781997356
Amager Øst,2013,42800.0,6487.0,21266.0,15.156542056074766,49.68691588785047,33809.0,11038.0,32.64811144961401
Amager Øst,2014,43352.0,6713.0,21277.0,15.484868056837055,49.0796272374977,34599.0,11863.0,34.287118124801296
Amager Øst,2015,44449.0,6876.0,21619.0,15.469414385025535,48.63776462912551,34751.0,12385.0,35.63926217950563
Amager Øst,2016,44883.0,6911.0,21662.0,15.397812089209722,48.263262259652876,34991.0,12982.0,37.10096882055386
Amager Øst,2017,45433.0,7041.0,21838.0,15.497545836726609,48.06638346576277,35261.0,13559.0,38.45324863163268
Amager Øst,2018,46109.0,7083.0,22095.0,15.36142618577718,47.91906135461623,35601.0,14161.0,39.776972556950646
Amager Øst,2019,46752.0,7186.0,22350.0,15.370465434633813,47.80544147843943,35879.0,14579.0,40.63379692856546
Amager Øst,2020,47294.0,7218.0,22674.0,15.26197826362752,47.942656573772574,36425.0,15111.0,41.485243651338365
Amager Øst,2021,47957.0,7287.0,22783.0,15.194862063932273,47.507141814542194,36466.0,15323.0,42.01996380189766
Amager Øst,2022,48017.0,7333.0,22748.0,15.271674615240435,47.37488806047858,36589.0,15634.0,42.728688950230946
Amager Øst,2023,48038.0,7292.0,22881.0,15.179649444190016,47.63104209167742,36479.0,15970.0,43.77861235231229
Amager Øst,2024,47898.0,7248.0,22831.0,15.132155831141175,47.665873314125854,36356.0,16225.0,44.628121905600175
Bispebjerg,1985,39078.0,5956.0,22101.0,15.241312247300272,56.55611853216644,26183.0,2218.0,8.47114539968682
Bispebjerg,1986,38664.0,5776.0,21792.0,14.938961307676392,56.362507759155804,25662.0,2299.0,8.958771724729171
Bispebjerg,1987,38202.0,5628.0,21539.0,14.732212973142767,56.381864823831215,25471.0,2476.0,9.720859016135998
Bispebjerg,1988,37963.0,5527.0,21393.0,14.558912625451097,56.352237705133945,25181.0,2624.0,10.42055518049323
Bispebjerg,1989,37657.0,5476.0,21106.0,14.541785059882624,56.04801232174629,25395.0,2802.0,11.033668044890726
Bispebjerg,1990,37594.0,5377.0,21029.0,14.302814278874289,55.93711762515295,24878.0,2865.0,11.51619905137069
Bispebjerg,1991,37604.0,5418.0,20703.0,14.408041697691734,55.05531326454633,24481.0,2954.0,12.066500551448062
Bispebjerg,1992,37391.0,5371.0,20378.0,14.364419245272927,54.49974592816453,24245.0,3017.0,12.443802845947618
Bispebjerg,1993,37052.0,5142.0,20210.0,13.877793371477923,54.54496383461082,24063.0,3211.0,13.344138303619665
Bispebjerg,1994,36368.0,4923.0,19906.0,13.536625604927409,54.73493180818302,24254.0,3347.0,13.799785602374866
Bispebjerg,1995,36456.0,4843.0,19912.0,13.284507351327628,54.61926706166337,24589.0,3552.0,14.445483752897637
Bispebjerg,1996,36647.0,4764.0,19992.0,12.999699839004556,54.552896553606026,24751.0,3725.0,15.049896973859642
Bispebjerg,1997,36566.0,4730.0,19849.0,12.935513865339386,54.28266695837664,24829.0,3963.0,15.961174433122558
Bispebjerg,1998,36387.0,4704.0,19677.0,12.927693956632863,54.07700552395086,25022.0,4203.0,16.797218447765967
Bispebjerg,1999,36338.0,4707.0,19470.0,12.953382134404755,53.58027409323573,25306.0,4493.0,17.75468268394847
Bispebjerg,2000,36492.0,4773.0,19397.0,13.07957908582703,53.1541159706237,25587.0,4820.0,18.837691014968538
Bispebjerg,2001,36604.0,4748.0,19304.0,12.971259971587804,52.737405748005685,25795.0,5145.0,19.94572591587517
Bispebjerg,2002,36915.0,4729.0,19438.0,12.8105106325342,52.656101855614246,25760.0,5502.0,21.358695652173914
Bispebjerg,2003,36627.0,4748.0,19163.0,12.96311464220384,52.319327272230865,26013.0,5822.0,22.381117133740823
Bispebjerg,2004,36640.0,4745.0,19092.0,12.950327510917031,52.10698689956332,25927.0,6061.0,23.377174374204497
Bispebjerg,2005,36322.0,4654.0,18860.0,12.813171080887617,51.92445349925665,26005.0,6328.0,24.33378196500673
Bispebjerg,2006,36129.0,4738.0,18536.0,13.114118851891831,51.30504580807661,26408.0,6785.0,25.692971826719177
Bispebjerg,2007,36219.0,4795.0,18341.0,13.238907755597891,50.639167287887574,26925.0,6504.0,24.15598885793872
Bispebjerg,2008,36562.0,4920.0,18111.0,13.456594278212352,49.535036376565834,27021.0,7535.0,27.885718515228895
Bispebjerg,2009,36696.0,4934.0,18104.0,13.445607150643122,49.33507739263135,27226.0,7900.0,29.016381400132225
Bispebjerg,2010,36966.0,4967.0,18085.0,13.43667153600606,48.92333495644647,27519.0,8133.0,29.554126240052327
Bispebjerg,2011,37441.0,5090.0,18175.0,13.594722363184744,48.54304105125397,27981.0,8415.0,30.073978771309104
Bispebjerg,2012,38095.0,5252.0,18255.0,13.786586166163538,47.91967449796561,28370.0,8835.0,31.14205146281283
Bispebjerg,2013,38648.0,5412.0,18435.0,14.003311943696957,47.699751604222726,28449.0,9256.0,32.535414250061514
Bispebjerg,2014,38994.0,5573.0,18484.0,14.291942350105144,47.40216443555419,28747.0,9717.0,33.80178801266219
Bispebjerg,2015,39427.0,5666.0,18662.0,14.370862606843026,47.33304588226343,28953.0,10249.0,35.398749697786066
Bispebjerg,2016,39870.0,5785.0,18720.0,14.509656383245549,46.95259593679458,28932.0,10918.0,37.736762062767866
Bispebjerg,2017,40035.0,5800.0,18803.0,14.487323591857125,46.966404396153365,28841.0,11399.0,39.523594882285636
Bispebjerg,2018,40171.0,5867.0,18893.0,14.605063354160961,47.03144059147146,28726.0,11830.0,41.18220427487294
Bispebjerg,2019,40198.0,5846.0,18936.0,14.54301209015374,47.106821234887306,28474.0,12183.0,42.78640162955679
Bispebjerg,2020,40157.0,5766.0,19078.0,14.358642328859228,47.50852902358244,28064.0,12190.0,43.43643101482326
Bispebjerg,2021,39792.0,5577.0,19038.0,14.015379975874549,47.8437876960193,27553.0,12251.0,44.46339781511995
Bispebjerg,2022,39227.0,5471.0,18898.0,13.947026282917378,48.17600122364698,27630.0,12533.0,45.36011581614188
Bispebjerg,2023,39289.0,5440.0,18909.0,13.846114688589681,48.12797475120263,27769.0,12965.0,46.688753646152186
Bispebjerg,2024,39426.0,5432.0,19037.0,13.77771014051641,48.28539542433927,27878.0,13495.0,48.407346294569194
Brønshøj-Husum,1985,33942.0,4517.0,19882.0,13.30799599316481,58.57639502681044,24149.0,2607.0,10.795478073626237
Brønshøj-Husum,1986,33614.0,4428.0,19717.0,13.173082644136372,58.6571071577319,23724.0,2733.0,11.519979767324228
Brønshøj-Husum,1987,33240.0,4370.0,19472.0,13.146811070998796,58.58002406738869,23382.0,2894.0,12.377042169189975
Brønshøj-Husum,1988,32969.0,4308.0,19283.0,13.066820346385999,58.48827686614699,23168.0,3014.0,13.00932320441989
Brønshøj-Husum,1989,32911.0,4238.0,19181.0,12.877153535292152,58.281425663152135,22963.0,3113.0,13.556591037756391
Brønshøj-Husum,1990,32828.0,4160.0,19164.0,12.672109175094432,58.37699524795906,22565.0,3251.0,14.407267892754266
Brønshøj-Husum,1991,33405.0,4287.0,19343.0,12.833408172429277,57.90450531357581,22280.0,3333.0,14.959605026929982
Brønshøj-Husum,1992,33585.0,4308.0,19279.0,12.827154979901742,57.40360279886854,21976.0,3462.0,15.75354932653804
Brønshøj-Husum,1993,33451.0,4230.0,19297.0,12.645361872589758,57.68736360646916,21575.0,3536.0,16.38933951332561
Brønshøj-Husum,1994,33226.0,4154.0,19243.0,12.502257268404263,57.91548787094444,21593.0,3643.0,16.87120826193674
Brønshøj-Husum,1995,33518.0,4067.0,19572.0,12.133778865087416,58.3925055194224,21402.0,3763.0,17.58246892813756
Brønshøj-Husum,1996,33311.0,4017.0,19483.0,12.059079583320825,58.488187085347185,21539.0,3936.0,18.273828868564
Brønshøj-Husum,1997,33808.0,4033.0,19781.0,11.929129200189305,58.50982016090866,21567.0,4058.0,18.815783372745397
Brønshøj-Husum,1998,33990.0,3950.0,20033.0,11.621065019123272,58.93792291850544,21465.0,4225.0,19.683205217796413
Brønshøj-Husum,1999,33929.0,3859.0,20017.0,11.373751068407557,58.99672846237732,21391.0,4415.0,20.63952129400215
Brønshøj-Husum,2000,33936.0,3824.0,20076.0,11.268269684111269,59.15841584158416,21330.0,4563.0,21.39240506329114
Brønshøj-Husum,2001,33865.0,3796.0,20027.0,11.209213051823417,59.13775284216743,21229.0,4734.0,22.299684393989356
Brønshøj-Husum,2002,33784.0,3785.0,19967.0,11.203528297418897,59.101941747572816,21119.0,4907.0,23.23500165727544
Brønshøj-Husum,2003,33611.0,3709.0,19956.0,11.03507780191009,59.373419416262536,21062.0,5038.0,23.919855664229416
Brønshøj-Husum,2004,33587.0,3627.0,20072.0,10.798820972400035,59.761217137582996,20929.0,5207.0,24.8793540064026
Brønshøj-Husum,2005,33202.0,3563.0,19781.0,10.731281248117583,59.57773628094693,20733.0,5398.0,26.03578835672599
Brønshøj-Husum,2006,32855.0,3522.0,19558.0,10.719829554101354,59.528230101963175,20471.0,5485.0,26.794001270089396
Brønshøj-Husum,2007,32412.0,3458.0,19271.0,10.668888066148341,59.45637418240158,20249.0,5402.0,26.67786063509309
Brønshøj-Husum,2008,32121.0,3338.0,19171.0,10.391955418573518,59.68369602440771,19993.0,5711.0,28.564997749212225
Brønshøj-Husum,2009,31812.0,3279.0,19012.0,10.307431158053564,59.76361121589338,19808.0,5831.0,29.437600969305333
Brønshøj-Husum,2010,31628.0,3236.0,18912.0,10.231440495763248,59.795118249652205,19760.0,6037.0,30.55161943319838
Brønshøj-Husum,2011,31659.0,3187.0,18898.0,10.066647714709877,59.69234656811649,19842.0,6216.0,31.327487148472937
Brønshøj-Husum,2012,31978.0,3252.0,19037.0,10.169491525423728,59.53155294264807,19932.0,6344.0,31.8282159341762
Brønshøj-Husum,2013,32366.0,3366.0,19060.0,10.399802261632578,58.888957548044246,19830.0,6534.0,32.9500756429652
Brønshøj-Husum,2014,32429.0,3389.0,19015.0,10.450522680317,58.635788954331,19623.0,6666.0,33.97034092646384
Brønshøj-Husum,2015,32523.0,3375.0,18998.0,10.37727146942164,58.414045444762166,19501.0,6923.0,35.500743551612736
Brønshøj-Husum,2016,32634.0,3438.0,18983.0,10.535024820739107,58.1693938836796,19412.0,7158.0,36.87409849577581
Brønshøj-Husum,2017,32736.0,3445.0,18922.0,10.523582600195503,57.80180840664712,19255.0,7354.0,38.192677226694364
Brønshøj-Husum,2018,32774.0,3472.0,18834.0,10.593763348996156,57.466284249710135,19242.0,7583.0,39.4085853861345
Brønshøj-Husum,2019,32882.0,3492.0,18864.0,10.619791983455993,57.36877318897877,19030.0,7733.0,40.63583815028902
Brønshøj-Husum,2020,32726.0,3434.0,18740.0,10.493185846116237,57.26333801870073,18791.0,7873.0,41.89771699217711
Brønshøj-Husum,2021,32659.0,3453.0,18722.0,10.572889555712054,57.32569888851465,18597.0,7974.0,42.87788352960155
Brønshøj-Husum,2022,32251.0,3394.0,18472.0,10.523704691327401,57.27574338780193,18422.0,8007.0,43.464336119856696
Brønshøj-Husum,2023,32012.0,3440.0,18307.0,10.745970261152069,57.18792952642759,18501.0,8162.0,44.11653424139236
Brønshøj-Husum,2024,31976.0,3430.0,18210.0,10.726795096322242,56.94896172129097,18305.0,8230.0,44.96039333515433
Indre By,1985,37445.0,6512.0,17843.0,17.390839898517825,47.65122179196155,29363.0,6749.0,22.98470864693662
Indre By,1986,36810.0,6379.0,17518.0,17.329530019016573,47.59032871502309,29145.0,6920.0,23.743352204494766
Indre By,1987,36285.0,6281.0,17166.0,17.310183271324238,47.308805291442745,28953.0,7135.0,24.643387559147584
Indre By,1988,35760.0,6171.0,16861.0,17.256711409395972,47.15044742729307,28882.0,7336.0,25.399903053805136
Indre By,1989,35639.0,6123.0,16614.0,17.180616740088105,46.617469625971545,28853.0,7566.0,26.22257650850865
Indre By,1990,35460.0,6084.0,16435.0,17.15736040609137,46.34799774393683,28744.0,7730.0,26.892568883940996
Indre By,1991,35535.0,6054.0,16221.0,17.03672435626847,45.64795272266779,28661.0,7958.0,27.765953735040647
Indre By,1992,35719.0,6164.0,16097.0,17.25692208628461,45.06565133402391,28839.0,8270.0,28.67644509171608
Indre By,1993,35911.0,6096.0,16206.0,16.975300047339257,45.12823368884186,29223.0,8569.0,29.32279368990179
Indre By,1994,36193.0,6098.0,16310.0,16.848561876605974,45.0639626447103,29420.0,8997.0,30.581237253569
Indre By,1995,36309.0,6071.0,16284.0,16.720372359470105,44.84838469800876,29691.0,9546.0,32.15115691623724
Indre By,1996,36387.0,6015.0,16191.0,16.530629070822,44.496660895374724,30062.0,10095.0,33.580600093140845
Indre By,1997,36794.0,6134.0,16442.0,16.671196390715878,44.68663369027559,30174.0,10521.0,34.86776695168025
Indre By,1998,36934.0,6224.0,16461.0,16.851681377592463,44.56869009584665,30394.0,10952.0,36.03342765019412
Indre By,1999,37215.0,6290.0,16527.0,16.901786913878812,44.40951229343007,30470.0,11338.0,37.21037085658024
Indre By,2000,37456.0,6367.0,16632.0,16.998611704399828,44.40410081161897,30505.0,11741.0,38.48877233240452
Indre By,2001,37643.0,6476.0,16644.0,17.203729777116596,44.21539197194698,30520.0,12046.0,39.469200524246396
